completion date,Title,author(s),pages,review,rating,status,format,platform,publisher,Imprint,publication date,type,genre,language
6/21/2020,The Lies of Locke Lamora,Scott Lynch,736,y,5,Completed,Physical Book,,Orion,Gollancz,2/1/2007,Fiction,Fantasy,eng
7/19/2019,The Secret Barrister: Stories of the Law and How It's Broken,Secret Barrister,373,n,4,Completed,Physical Book,,Macmillan Publishers,Picador,4/4/2019,Nonfiction,Law,eng
3/11/2022,Honjin Murders,Seishi Yokomizu,192,n,3,Completed,Audiobook,BorrowBox,Penguin Random House,Pushkin Vertigo,12/5/2019,Fiction,Mystery,eng
3/2/2021,The Diary of a Bookseller,Shaun Bythell,320,y,3,Completed,Physical Book,,Penguin Random House,Profile Books,9/13/2019,Nonfiction,"Essays, Journals & Letters",eng
7/19/2020,The Haunting of Hill House,Shirley Jackson,256,y,3,Completed,Audiobook,unknown,Penguin,Penguin Classics,10/1/2009,Fiction,Horror,eng
,The Case-Book of Sherlock Holmes,Sir Arthur Conan Doyle,320,n,,Completed,Physical Book,,Penguin,Penguin,9/1/2011,Fiction,Mystery,eng
,A Study in Scarlet & The Sign of the Four,Sir Arthur Conan Doyle,224,n,4,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,12/5/2001,Fiction,Mystery,eng
11/3/2021,The Cat Who Saved Books,Sosuke Natsukawa,244,y,1,Completed,Audiobook,Audible,Macmillan Publishers,Picador,9/16/2021,Fiction,Literary Fiction,eng
3/21/2021,Pride and Papercuts,Staci Hart,290,y,1,Completed,E-Book,Kindle,Independently published,Independently published,10/8/2020,Fiction,Romance,eng
5/11/2021,"Fragile: Why We Are Feeling More Anxious, Stressed and Overwhelmed Than Ever (And What We Can Do About It)",Stella O'malley,288,n,2,Completed,Audiobook,BorrowBox,Gill Books,Gill Books,4/5/2019,Nonfiction,Self Help,eng
7/10/2018,Freakonomics,"Steven D. Levitt, Stephen J. Dubner",336,y,4.5,Completed,Physical Book,,Penguin,Penguin,4/6/2006,Nonfiction,Economics,eng
4/8/2022,Freakonomics,"Steven D. Levitt, Stephen J. Dubner",336,y,3,Completed,Audiobook,Libby,Penguin,Penguin,4/6/2006,Nonfiction,Economics,eng
5/31/2021,How We Got to Now: Six Innovations that Made the Modern World,Steven Johnson,256,y,5,Completed,Audiobook,Unknown,Penguin,Penguin,9/24/2015,Nonfiction,science,eng
,Lily and the Octopus,Steven Rowley,320,,,DNF,Audiobook,BorrowBox,Simon & Schuster UK,Simon & Schuster UK,10/5/2017,Fiction,Literary Fiction,eng
2/18/2019,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,544,y,3.5,Completed,Physical Book,,Penguin Random House,Raven Books,10/1/2018,Fiction,Horror,eng
1/5/2020,Test,Sylvain Neuvel,110,y,4,Completed,Audiobook,Libby,Macmillan Publishers,tor.com,2/12/2019,Fiction,Thriller,eng
1/5/2019,Lies,T. M. Logan,528,y,2,Completed,Physical Book,,Twenty7,Twenty7,5/4/2017,Fiction,Thriller,eng
4/30/2019,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,400,y,5,Completed,Physical Book,,Simon & Schuster UK,Simon & Schuster UK,10/14/2021,Fiction,Romance,eng
5/9/2018,I Am Pilgrim,Terry Hayes,912,y,5,Completed,Physical Book,,penguin,Corgi,5/8/2014,Fiction,Thriller,eng
4/10/2022,Economics,The Economist,368,y,5,Completed,Audiobook,Audible,Economist Books,Economist Books,3/3/2011,Nonfiction,Economics,eng
12/7/2021,Economics,The Economist,368,y,5,Completed,Audiobook,Audible,Economist Books,Economist Books,3/3/2011,Nonfiction,Economics,eng
4/23/2021,Tales from the Cafe,Toshikazu Kawaguchi,208,y,3,Completed,Audiobook,Libby,Macmillan Publishers,Picador,9/17/2020,Fiction,Fantasy,eng
